Quote	Topics
"I'm not worried about facing the Sacramento Queens. Write it down. Take a picture. I'm not going to talk about this all year. When I get back, there's going to be trouble."	Shaq
"The first three championships that I won, I won them. I had big numbers and I won them. And last year, the guys won it for me. They won it for the big guy. Numbers are overrated. There's a lot of guys in this league who can say they've got great numbers. But they can't say they've got four rings in the last six years."	Shaq
"It's just one more win. I don't give a [bleep] how we do it, as long as we get it done. Did I say [bleep]? I'm sorry."	"Shaq,Winning"
"If you go 72-11 and don't win (the championship), it doesn't mean anything. Actually it does. It means you've cheated and played an extra regular-season game."	"Shaq,Winning"
"Their unselfishness, the way they play and their poise factor. When you never panic, that's a great sign."	Shaq
"That game was dedicated to Rick Adelman. I'm at home, in the bathroom, trying to take a dump, flipping through the channels and he's complaining (on TV) about how I'm stepping over the line. I can't even do a No. 2 in peace. I'm sitting there grunting at 12:30 at night. Can I go one day without somebody saying something negative about me?"	Shaq
"Like my good friend Eminem the rapper says, you only get one shot."	Shaq
"I think everything happens for a reason. With my game being the way it is, if I did shoot 80 percent, I'd be a harder person to deal with. It just keeps me humble. Just imagine me in my game shooting the same percentage that Reggie Miller shoots. I wouldn't even talk to you guys because I wouldn't have to."	Shaq
"I've been 11, 12 percent body fat my whole career. But when you've got a big, sexy, beautiful man that's up in the 340s, 350s, the way you guys were taught on this planet, you're going to automatically think it's fat."	Shaq
"A writer from ESPN magazine once described me as the world's largest eleven-year-old. That's true. I ride my Sea-Doo jet ski, play putt-putt golf, go to water parks, and act silly. On the bottom floor of my house in Beverly Hills, I have video games, a pool table, a Pepsi machine, and all the things they have in arcades. I drive go-karts, at least the ones I can fit in. I karate-chop my friends when they come over, like the Kato dude in the Pink Panther movies."	Shaq
"It's t'ai chi every time. I'm using your positive energy, and I'm blowing off it. See, most guys can't push, they got to lean. When they lean, I spin."	Shaq
"I don't get tired. I get beat up. You keep chopping on a tree, you need to give the tree some rest so the chlorophyll will fill back up and the tree gets its energy back."	Shaq
"Going from Army base to base as a kid taught me to be a man of all nations. I'd go to the Jewish people and say, 'Shalom, brother.' I go to the Muslim people and say, 'Salaam aleikum.'I go to the Chinese people and say, 'Nee hao mah,' which means, 'How you doin'?' I go to the Japanese people and say, 'Konnichiwa.' I go to San Antonio, Texas, and I get along with Mexicans. Then I go to Louisiana and hang with the Creoles. Moving around a lot made me a man of all people."	Shaq
"When I first came in, I partied and had a good time. I used to spend $500,000 on chains that don't make no sense. Then I started having babies. I don't do the bull**** no more."	Shaq
"Everybody talks about being a role model. But if you look up the word 'role' in a dictionary, it describes playing a part. Everything I'm into, it's real to me. There's nothing fake about it."	Shaq
"You know, I'm very photogenic."	Shaq
Being that I'm a tropical black man I don't get to see much snow. When I see snow I go crazy. That's why they call me Sasquatch. There's no Sasquatch found in the snow so I had to go back to my Sasquatchian roots.	"Shaq,Nickname"
I'll hit them when it matters.	Shaq
"As a basketball fan, I get sick and tired of people talking about numbers. To me, the world is getting too materialistic."	Shaq
I'm the master marketer.	Shaq
"If you don't like me, there must be something wrong with you."	Shaq
"I said what I felt, and people try to control people. But you can never control me. I'm a 31-year-old juvenile delinquent. Nobody can control me."	Shaq
They won't talk to you because I'm undercover.	Shaq
I urge all children to listen to their mothers and fathers. My mom was helping out some kids and she didn't want to call me for all of the money; she only wanted to take care of some of the kids.	"Shaq,Mom"
"A lot of times when I buy a lot of toys, I get a little jealous and keep one or two for myself. So I've got a couple of drones. I've got a couple of remote-control cars. I like to have fun"	Shaq
"You always have to take care of the sisters first, so my dad would buy Barbies and stuff and I wouldn't get anything. So I don't want any other kid to feel like that."	Shaq
Good teams become great ones when the members trust each other enough to surrender the Me for the We.	"Phil,Teamwork"
The strength of the team lies within the individual. And the strength of the individual lies within the team	"Phil,Teamwork"
"You can't force your will on people. If you want them to act differently, you need to inspire them to change themselves"	Phil
"Like life, basketball is messy and unpredictable. It has its way with you, no matter how hard you try to control it. The trick is to experience each moment with a clear mind and open heart. When you do that, the game - and life - will take care of itself."	Phil
I won't coach this team next year if he is still here. He won't listen to anyone. I've had it with this kid.	"Phil,Teamwork"
"Before a vision (dream) can become a reality, it must be owned by every member of the group."	Phil
"The most we can hope for is to create the best possible conditions for success, then let go of the outcome. The ride is a lot more fun that way."	"Phil,Winning"
No one plays this or any game perfectly.  It's the guy who recovers from his mistakes who wins.	"Phil,Winning"
"In basketball - as in life - true joy comes from being fully present in each and every moment, not just when things are going your way. Of course, it's no accident that things are more likely to go your way when you stop worrying about whether you're going to win or lose and focus your full attention on what's happening right this moment. "	"Phil,Winning"
"Winning is important to me, but what brings me real joy is the experience of being fully engaged in whatever I'm doing."	"Phil,Winning"
Basketball is a sport that involves the subtle interweaving of players at full speed to the point where they are thinking and moving as one.	Phil
"Yes, victory is sweet, but it doesn't necessarily make life any easier the next season or even the next day."	"Phil,Winning"
